-0.1346	3.1031	0	0	-0.1346	3.1031	-0.0118	2.9997	-0.0785	0.9969
-0.00910571	3.682	0.333101	0.950023	0.0188352	3.69585	-0.0712	3.395	-0.2028	0.9792
-0.0783617	3.65257	-0.199819	0.0945214	-0.0802	3.5951	-0.1797	3.7797	-0.3239	0.9461
-0.208788	4.08497	-0.319002	0.799742	-0.232154	4.40919	-0.3356	4.1478	-0.4399	0.898
-0.544563	4.34481	-0.933641	0.629534	-0.5696	4.3342	-0.5364	4.4935	-0.549	0.8358
-0.881948	4.56145	-0.874974	0.719074	-0.85708	4.45164	-0.7789	4.8112	-0.6494	0.7604
-0.81792	5.08476	0.251962	1.36883	-0.7765	5.1206	-1.0593	5.0961	-0.7396	0.673
-1.11861	5.45295	-0.800096	0.733348	-1.16564	5.45802	-1.3732	5.3436	-0.8181	0.575
-1.6521	5.68762	-1.34306	0.572354	-1.6714	5.6788	-1.7157	5.5498	-0.8838	0.4679
-1.87315	5.68899	-0.367574	-0.380112	-1.87421	5.74975	-2.0813	5.7114	-0.9354	0.3535
-2.61796	5.88154	-1.93257	0.659394	-2.6906	5.9641	-2.4643	5.8259	-0.9724	0.2334
-2.92344	6.11787	-0.74142	0.699497	-2.7922	5.98678	-2.8586	5.8916	-0.994	0.1097
-3.22073	5.80322	-0.589925	-0.891844	-3.1907	5.7088	-3.258	5.9073	-0.9999	-0.0157
-3.6642	5.82669	-1.14546	0.126855	-3.74717	5.97147	-3.6563	5.8728	-0.99	-0.1409
-4.12035	5.58466	-1.07571	-0.659335	-4.1054	5.539	-4.0471	5.7886	-0.9646	-0.2639
-4.46097	5.65611	-0.747355	0.138507	-4.4963	5.80416	-4.4242	5.6562	-0.9239	-0.3827
-4.79594	5.35801	-0.745261	-0.765481	-4.7806	5.3115	-4.7818	5.4775	-0.8686	-0.4955
-4.92607	5.2384	-0.450922	-0.108737	-4.80942	5.19263	-5.1142	5.2554	-0.7997	-0.6004
-5.40941	4.95126	-1.17702	-0.652008	-5.4369	4.9375	-5.4161	4.9934	-0.7181	-0.6959
-5.44638	4.88293	-0.173086	-0.00557591	-5.24198	4.80751	-5.6828	4.6957	-0.6253	-0.7804
-5.99634	4.26147	-1.27772	-1.40198	-6.0327	4.2186	-5.9101	4.3668	-0.5225	-0.8526
-6.0656	3.72417	-0.241399	-1.25253	-5.8434	3.63584	-6.0944	4.0121	-0.4115	-0.9114
-6.11874	3.45567	-0.175289	-0.712364	-6.1224	3.4757	-6.2327	3.6371	-0.2941	-0.9558
-6.37071	3.24075	-0.229393	-0.74676	-6.66437	3.37934	-6.323	3.2476	-0.1719	-0.9851
-6.29171	2.88306	0.252945	-0.919715	-6.2603	2.8697	-6.3637	2.85	-0.0471	-0.9989
-6.5144	2.52066	-0.254931	-1.05145	-6.81974	2.60435	-6.3543	2.4503	0.0784	-0.9969
-6.51163	1.90036	0.0675339	-1.54958	-6.4859	1.8779	-6.2949	2.055	0.2028	-0.9792
